Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
2184	U+2B05	⬅	⬅	⬅	⬅	⬅	⬅	⬅	⬅	⬅	—	⬅	—	⬅	left arrow
2185	U+2196	↖	↖	↖	↖	↖	↖	↖	↖	↖	↖	↖	↖	↖	up-left arrow
2186	U+2195	↕	↕	↕	↕	↕	↕	↕	↕	↕	↕	—	↕	↕	up-down arrow
2187	U+2194	↔	↔	↔	↔	↔	↔	↔	↔	↔	↔	—	↔	↔	left-right arrow
2188	U+21A9	↩	↩	↩	↩	↩	↩	↩	↩	↩	—	—	↩	↩	right arrow curving left
2189	U+21AA	↪	↪	↪	↪	↪	↪	↪	↪	↪	↪	—	—	↪	left arrow curving right
2190	U+2934	⤴	⤴	⤴	⤴	⤴	⤴	⤴	⤴	⤴	⤴	—	⤴	⤴	right arrow curving up
2191	U+2935	⤵	⤵	⤵	⤵	⤵	⤵	⤵	⤵	⤵	⤵	—	⤵	⤵	right arrow curving down
2192	U+1F503	🔃	🔃	🔃	🔃	🔃	🔃	🔃	🔃	🔃	🔃	—	—	🔃	clockwise vertical arrows
2193	U+1F504	🔄	🔄	🔄	🔄	🔄	🔄	🔄	🔄	🔄	—	—	—	—	counterclockwise arrows button
2194	U+1F519	🔙	🔙	🔙	🔙	🔙	🔙	🔙	🔙	🔙	🔙	—	—	🔙	BACK arrow
2195	U+1F51A	🔚	🔚	🔚	🔚	🔚	🔚	🔚	🔚	🔚	🔚	—	🔚	—	END arrow
2196	U+1F51B	🔛	🔛	🔛	🔛	🔛	🔛	🔛	🔛	🔛	🔛	—	🔛	—	ON! arrow
2197	U+1F51C	🔜	🔜	🔜	🔜	🔜	🔜	🔜	🔜	🔜	🔜	—	🔜	—	SOON arrow
2198	U+1F51D	🔝	🔝	🔝	🔝	🔝	🔝	🔝	🔝	🔝	🔝	🔝	—	—	TOP arrow
2199	U+1F6D0	🛐	🛐	🛐	🛐	🛐	🛐	—	🛐	🛐	—	—	—	—	place of worship
2200	U+269B	⚛	⚛	⚛	⚛	⚛	⚛	—	⚛	⚛	—	—	—	—	atom symbol
2201	U+1F549	🕉	🕉	🕉	🕉	🕉	🕉	—	🕉	🕉	—	—	—	—	om
2202	U+2721	✡	✡	✡	✡	✡	✡	—	✡	✡	—	—	—	—	star of David
2203	U+2638	☸	☸	☸	☸	☸	☸	—	☸	☸	—	—	—	—	wheel of dharma
2204	U+262F	☯	☯	☯	☯	☯	☯	—	☯	☯	—	—	—	—	yin yang
2205	U+271D	✝	✝	✝	✝	✝	✝	—	✝	✝	—	—	—	—	latin cross
2206	U+2626	☦	☦	☦	☦	☦	☦	—	☦	☦	—	—	—	—	orthodox cross
2207	U+262A	☪	☪	☪	☪	☪	☪	—	☪	☪	—	—	—	—	star and crescent
2208	U+262E	☮	☮	☮	☮	☮	☮	—	☮	☮	—	—	—	—	peace symbol
2209	U+1F54E	🕎	🕎	🕎	🕎	🕎	🕎	—	🕎	🕎	—	—	—	—	menorah
2210	U+1F52F	🔯	🔯	🔯	🔯	🔯	🔯	🔯	🔯	🔯	🔯	🔯	—	—	dotted six-pointed star
2211	U+2648	♈	♈	♈	♈	♈	♈	♈	♈	♈	♈	♈	♈	♈	Aries
2212	U+2649	♉	♉	♉	♉	♉	♉	♉	♉	♉	♉	♉	♉	♉	Taurus
2213	U+264A	♊	♊	♊	♊	♊	♊	♊	♊	♊	♊	♊	♊	♊	Gemini
2214	U+264B	♋	♋	♋	♋	♋	♋	♋	♋	♋	♋	♋	♋	♋	Cancer
2215	U+264C	♌	♌	♌	♌	♌	♌	♌	♌	♌	♌	♌	♌	♌	Leo
2216	U+264D	♍	♍	♍	♍	♍	♍	♍	♍	♍	♍	♍	♍	♍	Virgo
2217	U+264E	♎	♎	♎	♎	♎	♎	♎	♎	♎	♎	♎	♎	♎	Libra
2218	U+264F	♏	♏	♏	♏	♏	♏	♏	♏	♏	♏	♏	♏	♏	Scorpius
2219	U+2650	♐	♐	♐	♐	♐	♐	♐	♐	♐	♐	♐	♐	♐	Sagittarius
2220	U+2651	♑	♑	♑	♑	♑	♑	♑	♑	♑	♑	♑	♑	♑	Capricorn
2221	U+2652	♒	♒	♒	♒	♒	♒	♒	♒	♒	♒	♒	♒	♒	Aquarius
2222	U+2653	♓	♓	♓	♓	♓	♓	♓	♓	♓	♓	♓	♓	♓	Pisces
2223	U+26CE	⛎	⛎	⛎	⛎	⛎	⛎	⛎	⛎	⛎	⛎	⛎	—	⛎	Ophiuchus
2224	U+1F500	🔀	🔀	🔀	🔀	🔀	🔀	🔀	🔀	🔀	—	—	—	—	shuffle tracks button
2225	U+1F501	🔁	🔁	🔁	🔁	🔁	🔁	🔁	🔁	🔁	—	—	—	—	repeat button
2226	U+1F502	🔂	🔂	🔂	🔂	🔂	🔂	🔂	🔂	🔂	—	—	—	—	repeat single button
2227	U+25B6	▶	▶	▶	▶	▶	▶	▶	▶	▶	▶	▶	—	▶	play button
2228	U+23E9	⏩	⏩	⏩	⏩	⏩	⏩	⏩	⏩	⏩	⏩	⏩	—	⏩	fast-forward button
2229	U+23ED	⏭	⏭	⏭	⏭	⏭	⏭	—	⏭	⏭	—	—	—	—	next track button
2230	U+23EF	⏯	⏯	⏯	⏯	⏯	⏯	—	⏯	⏯	—	—	—	—	play or pause button
2231	U+25C0	◀	◀	◀	◀	◀	◀	◀	◀	◀	◀	◀	—	◀	reverse button
2232	U+23EA	⏪	⏪	⏪	⏪	⏪	⏪	⏪	⏪	⏪	⏪	⏪	—	⏪	fast reverse button
2233	U+23EE	⏮	⏮	⏮	⏮	⏮	⏮	—	⏮	⏮	—	—	—	—	last track button
2234	U+1F53C	🔼	🔼	🔼	🔼	🔼	🔼	🔼	🔼	🔼	🔼	—	—	🔼	up button
2235	U+23EB	⏫	⏫	⏫	⏫	⏫	⏫	⏫	⏫	⏫	⏫	—	—	⏫	fast up button
2236	U+1F53D	🔽	🔽	🔽	🔽	🔽	🔽	🔽	🔽	🔽	🔽	—	—	🔽	down button
2237	U+23EC	⏬	⏬	⏬	⏬	⏬	⏬	⏬	⏬	⏬	⏬	—	—	⏬	fast down button
2238	U+23F8	⏸	⏸	⏸	⏸	⏸	⏸	—	⏸	⏸	—	—	—	—	pause button
2239	U+23F9	⏹	⏹	⏹	⏹	⏹	⏹	—	⏹	⏹	—	—	—	—	stop button
2240	U+23FA	⏺	⏺	⏺	⏺	⏺	⏺	—	⏺	⏺	—	—	—	—	record button
2241	U+23CF	⏏	—	⏏	⏏	⏏	⏏	—	⏏	⏏	—	—	—	—	eject button
2242	U+1F3A6	🎦	🎦	🎦	🎦	🎦	🎦	🎦	🎦	🎦	🎦	🎦	—	—	cinema
2243	U+1F505	🔅	🔅	🔅	🔅	🔅	🔅	🔅	🔅	🔅	—	—	—	—	dim button
2244	U+1F506	🔆	🔆	🔆	🔆	🔆	🔆	🔆	🔆	🔆	—	—	—	—	bright button
2245	U+1F4F6	📶	📶	📶	📶	📶	📶	📶	📶	📶	📶	📶	—	📶	antenna bars
2246	U+1F4F3	📳	📳	📳	📳	📳	📳	📳	📳	📳	📳	📳	—	📳	vibration mode
2247	U+1F4F4	📴	📴	📴	📴	📴	📴	📴	📴	📴	📴	📴	—	📴	mobile phone off
2248	U+2640	♀	—	♀	♀	♀	♀	—	♀	♀	—	—	—	—	female sign
2249	U+2642	♂	—	♂	♂	♂	♂	—	♂	♂	—	—	—	—	male sign
2250	U+2695	⚕	⚕	⚕	⚕	⚕	⚕	—	⚕	⚕	—	—	—	—	medical symbol
2251	U+267B	♻	♻	♻	♻	♻	♻	♻	♻	♻	♻	—	♻	♻	recycling symbol
2252	U+269C	⚜	⚜	⚜	⚜	⚜	⚜	—	⚜	⚜	—	—	—	—	fleur-de-lis
2253	U+1F531	🔱	🔱	🔱	🔱	🔱	🔱	🔱	🔱	🔱	🔱	🔱	—	—	trident emblem
2254	U+1F4DB	📛	📛	📛	📛	📛	📛	📛	📛	📛	📛	—	—	📛	name badge
2255	U+1F530	🔰	🔰	🔰	🔰	🔰	🔰	🔰	🔰	🔰	🔰	🔰	—	🔰	Japanese symbol for beginner
2256	U+2B55	⭕	⭕	⭕	⭕	⭕	⭕	⭕	⭕	⭕	⭕	⭕	—	⭕	heavy large circle
2257	U+2705	✅	✅	✅	✅	✅	✅	✅	✅	✅	✅	—	—	✅	white heavy check mark
2258	U+2611	☑	☑	☑	☑	☑	☑	☑	☑	☑	☑	—	—	☑	ballot box with check
2259	U+2714	✔	✔	✔	✔	✔	✔	✔	✔	✔	—	—	—	✔	heavy check mark
2260	U+2716	✖	✖	✖	✖	✖	✖	✖	✖	✖	—	—	—	✖	heavy multiplication x
2261	U+274C	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	—	❌	cross mark
2262	U+274E	❎	❎	❎	❎	❎	❎	❎	❎	❎	❎	—	—	❎	cross mark button
2263	U+2795	➕	➕	➕	➕	➕	➕	➕	➕	➕	➕	—	—	➕	heavy plus sign
2264	U+2796	➖	➖	➖	➖	➖	➖	➖	➖	➖	➖	—	—	➖	heavy minus sign
2265	U+2797	➗	➗	➗	➗	➗	➗	➗	➗	➗	➗	—	—	➗	heavy division sign
2266	U+27B0	➰	➰	➰	➰	➰	➰	➰	➰	➰	➰	—	➰	➰	curly loop
2267	U+27BF	➿	➿	➿	➿	➿	➿	➿	➿	➿	➿	—	—	—	double curly loop
2268	U+303D	〽	〽	〽	〽	〽	〽	〽	〽	〽	〽	〽	—	—	part alternation mark
2269	U+2733	✳	✳	✳	✳	✳	✳	✳	✳	✳	✳	✳	—	✳	eight-spoked asterisk
2270	U+2734	✴	✴	✴	✴	✴	✴	✴	✴	✴	—	✴	—	✴	eight-pointed star
2271	U+2747	❇	❇	❇	❇	❇	❇	❇	❇	❇	❇	—	—	❇	sparkle
2272	U+203C	‼	‼	‼	‼	‼	‼	‼	‼	‼	‼	—	‼	‼	double exclamation mark
2273	U+2049	⁉	⁉	⁉	⁉	⁉	⁉	⁉	⁉	⁉	⁉	—	⁉	⁉	exclamation question mark
2274	U+2753	❓	❓	❓	❓	❓	❓	❓	❓	❓	❓	❓	—	❓	question mark
2275	U+2754	❔	❔	❔	❔	❔	❔	❔	❔	❔	❔	❔	—	—	white question mark
2276	U+2755	❕	❕	❕	❕	❕	❕	❕	❕	❕	❕	❕	—	—	white exclamation mark
2277	U+2757	❗	❗	❗	❗	❗	❗	❗	❗	❗	❗	❗	❗	❗	exclamation mark
2278	U+3030	〰	〰	〰	〰	〰	〰	〰	〰	〰	〰	—	〰	—	wavy dash
2279	U+00A9	©	©	©	©	©	©	©	©	©	©	©	©	©	copyright
2280	U+00AE	®	®	®	®	®	®	®	®	®	®	®	®	®	registered
2281	U+2122	™	™	™	™	™	™	™	™	™	™	™	™	™	trade mark
2282	U+0023 U+FE0F U+20E3	#️⃣	#️⃣	#️⃣	#️⃣	#️⃣	#️⃣	#️⃣	#️⃣	—	#️⃣	#️⃣	#️⃣	#️⃣	keycap: #
2283	U+002A U+FE0F U+20E3	*️⃣	*️⃣	*️⃣	*️⃣	*️⃣	*️⃣	—	*️⃣	—	—	—	—	—	keycap: *
2284	U+0030 U+FE0F U+20E3	0️⃣	0️⃣	0️⃣	0️⃣	0️⃣	0️⃣	0️⃣	0️⃣	—	0️⃣	0️⃣	0️⃣	0️⃣	keycap: 0
2285	U+0031 U+FE0F U+20E3	1️⃣	1️⃣	1️⃣	1️⃣	1️⃣	1️⃣	1️⃣	1️⃣	—	1️⃣	1️⃣	1️⃣	1️⃣	keycap: 1
2286	U+0032 U+FE0F U+20E3	2️⃣	2️⃣	2️⃣	2️⃣	2️⃣	2️⃣	2️⃣	2️⃣	—	2️⃣	2️⃣	2️⃣	2️⃣	keycap: 2
2287	U+0033 U+FE0F U+20E3	3️⃣	3️⃣	3️⃣	3️⃣	3️⃣	3️⃣	3️⃣	3️⃣	—	3️⃣	3️⃣	3️⃣	3️⃣	keycap: 3
2288	U+0034 U+FE0F U+20E3	4️⃣	4️⃣	4️⃣	4️⃣	4️⃣	4️⃣	4️⃣	4️⃣	—	4️⃣	4️⃣	4️⃣	4️⃣	keycap: 4
2289	U+0035 U+FE0F U+20E3	5️⃣	5️⃣	5️⃣	5️⃣	5️⃣	5️⃣	5️⃣	5️⃣	—	5️⃣	5️⃣	5️⃣	5️⃣	keycap: 5
2290	U+0036 U+FE0F U+20E3	6️⃣	6️⃣	6️⃣	6️⃣	6️⃣	6️⃣	6️⃣	6️⃣	—	6️⃣	6️⃣	6️⃣	6️⃣	keycap: 6
2291	U+0037 U+FE0F U+20E3	7️⃣	7️⃣	7️⃣	7️⃣	7️⃣	7️⃣	7️⃣	7️⃣	—	7️⃣	7️⃣	7️⃣	7️⃣	keycap: 7
2292	U+0038 U+FE0F U+20E3	8️⃣	8️⃣	8️⃣	8️⃣	8️⃣	8️⃣	8️⃣	8️⃣	—	8️⃣	8️⃣	8️⃣	8️⃣	keycap: 8
2293	U+0039 U+FE0F U+20E3	9️⃣	9️⃣	9️⃣	9️⃣	9️⃣	9️⃣	9️⃣	9️⃣	—	9️⃣	9️⃣	9️⃣	9️⃣	keycap: 9
2294	U+1F51F	🔟	🔟	🔟	🔟	🔟	🔟	🔟	🔟	🔟	🔟	—	—	🔟	keycap 10
2295	U+1F4AF	💯	💯	💯	💯	💯	💯	💯	💯	💯	💯	—	—	💯	hundred points
2296	U+1F520	🔠	🔠	🔠	🔠	🔠	🔠	🔠	🔠	🔠	🔠	—	—	🔠	input latin uppercase
2297	U+1F521	🔡	🔡	🔡	🔡	🔡	🔡	🔡	🔡	🔡	🔡	—	—	🔡	input latin lowercase
2298	U+1F522	🔢	🔢	🔢	🔢	🔢	🔢	🔢	🔢	🔢	🔢	—	—	🔢	input numbers
2299	U+1F523	🔣	🔣	🔣	🔣	🔣	🔣	🔣	🔣	🔣	🔣	—	—	🔣	input symbols
2300	U+1F524	🔤	🔤	🔤	🔤	🔤	🔤	🔤	🔤	🔤	🔤	—	—	🔤	input latin letters
2301	U+1F170	🅰	🅰	🅰	🅰	🅰	🅰	🅰	🅰	🅰	🅰	🅰	—	🅰	A button (blood type)
2302	U+1F18E	🆎	🆎	🆎	🆎	🆎	🆎	🆎	🆎	🆎	🆎	🆎	—	🆎	AB button (blood type)
2303	U+1F171	🅱	🅱	🅱	🅱	🅱	🅱	🅱	🅱	🅱	🅱	🅱	—	🅱	B button (blood type)
2304	U+1F191	🆑	🆑	🆑	🆑	🆑	🆑	🆑	🆑	🆑	🆑	—	🆑	🆑	CL button
2305	U+1F192	🆒	🆒	🆒	🆒	🆒	🆒	🆒	🆒	🆒	🆒	🆒	—	🆒	COOL button
2306	U+1F193	🆓	🆓	🆓	🆓	🆓	🆓	🆓	🆓	🆓	🆓	—	🆓	🆓	FREE button
2307	U+2139	ℹ	ℹ	ℹ	ℹ	ℹ	ℹ	ℹ	ℹ	ℹ	ℹ	—	—	ℹ	information
2308	U+1F194	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	🆔	ID button
2309	U+24C2	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	Ⓜ	—	Ⓜ	—	circled M
2310	U+1F195	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	🆕	NEW button
2311	U+1F196	🆖	🆖	🆖	🆖	🆖	🆖	🆖	🆖	🆖	🆖	—	🆖	—	NG button
2312	U+1F17E	🅾	🅾	🅾	🅾	🅾	🅾	🅾	🅾	🅾	🅾	🅾	—	🅾	O button (blood type)
2313	U+1F197	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	🆗	OK button
2314	U+1F17F	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	🅿	P button
2315	U+1F198	🆘	🆘	🆘	🆘	🆘	🆘	🆘	🆘	🆘	🆘	—	—	🆘	SOS button
2316	U+1F199	🆙	🆙	🆙	🆙	🆙	🆙	🆙	🆙	🆙	🆙	🆙	—	🆙	UP! button
2317	U+1F19A	🆚	🆚	🆚	🆚	🆚	🆚	🆚	🆚	🆚	🆚	🆚	—	🆚	VS button
2318	U+1F201	🈁	🈁	🈁	🈁	🈁	🈁	🈁	🈁	🈁	🈁	🈁	—	—	Japanese “here” button
2319	U+1F202	🈂	🈂	🈂	🈂	🈂	🈂	🈂	🈂	🈂	🈂	🈂	—	🈂	Japanese “service charge” button
2320	U+1F237	🈷	🈷	🈷	🈷	🈷	🈷	🈷	🈷	🈷	🈷	🈷	—	—	Japanese “monthly amount” button
2321	U+1F236	🈶	🈶	🈶	🈶	🈶	🈶	🈶	🈶	🈶	🈶	🈶	—	—	Japanese “not free of charge” button
2322	U+1F22F	🈯	🈯	🈯	🈯	🈯	🈯	🈯	🈯	🈯	🈯	🈯	—	🈯	Japanese “reserved” button
2323	U+1F250	🉐	🉐	🉐	🉐	🉐	🉐	🉐	🉐	🉐	🉐	🉐	—	🉐	Japanese “bargain” button
2324	U+1F239	🈹	🈹	🈹	🈹	🈹	🈹	🈹	🈹	🈹	🈹	🈹	—	🈹	Japanese “discount” button
2325	U+1F21A	🈚	🈚	🈚	🈚	🈚	🈚	🈚	🈚	🈚	🈚	🈚	—	—	Japanese “free of charge” button
2326	U+1F232	🈲	🈲	🈲	🈲	🈲	🈲	🈲	🈲	🈲	🈲	—	🈲	—	Japanese “prohibited” button
2327	U+1F251	🉑	🉑	🉑	🉑	🉑	🉑	🉑	🉑	🉑	🉑	—	—	🉑	Japanese “acceptable” button
2328	U+1F238	🈸	🈸	🈸	🈸	🈸	🈸	🈸	🈸	🈸	🈸	🈸	—	—	Japanese “application” button
2329	U+1F234	🈴	🈴	🈴	🈴	🈴	🈴	🈴	🈴	🈴	🈴	—	🈴	—	Japanese “passing grade” button
2330	U+1F233	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	🈳	Japanese “vacancy” button
2331	U+3297	㊗	㊗	㊗	㊗	㊗	㊗	㊗	㊗	㊗	㊗	㊗	—	㊗	Japanese “congratulations” button
2332	U+3299	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	㊙	Japanese “secret” button
2333	U+1F23A	🈺	🈺	🈺	🈺	🈺	🈺	🈺	🈺	🈺	🈺	🈺	—	🈺	Japanese “open for business” button
2334	U+1F235	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	🈵	Japanese “no vacancy” button
2335	U+25AA	▪	▪	▪	▪	▪	▪	▪	▪	▪	▪	—	—	▪	black small square
2336	U+25AB	▫	▫	▫	▫	▫	▫	▫	▫	▫	▫	—	—	▫	white small square
2337	U+25FB	◻	◻	◻	◻	◻	◻	◻	◻	◻	◻	—	—	◻	white medium square
2338	U+25FC	◼	◼	◼	◼	◼	◼	◼	◼	◼	◼	—	—	◼	black medium square
2339	U+25FD	◽	◽	◽	◽	◽	◽	◽	◽	◽	◽	—	—	◽	white medium-small square
2340	U+25FE	◾	◾	◾	◾	◾	◾	◾	◾	◾	◾	—	—	◾	black medium-small square
2341	U+2B1B	⬛	⬛	⬛	⬛	⬛	⬛	⬛	⬛	⬛	—	—	—	⬛	black large square
2342	U+2B1C	⬜	⬜	⬜	⬜	⬜	⬜	⬜	⬜	⬜	—	—	—	⬜	white large square
2343	U+1F536	🔶	🔶	🔶	🔶	🔶	🔶	🔶	🔶	🔶	🔶	—	—	🔶	large orange diamond
2344	U+1F537	🔷	🔷	🔷	🔷	🔷	🔷	🔷	🔷	🔷	🔷	—	—	🔷	large blue diamond
2345	U+1F538	🔸	🔸	🔸	🔸	🔸	🔸	🔸	🔸	🔸	🔸	—	—	🔸	small orange diamond
2346	U+1F539	🔹	🔹	🔹	🔹	🔹	🔹	🔹	🔹	🔹	🔹	—	—	🔹	small blue diamond
2347	U+1F53A	🔺	🔺	🔺	🔺	🔺	🔺	🔺	🔺	🔺	🔺	—	—	🔺	red triangle pointed up
2348	U+1F53B	🔻	🔻	🔻	🔻	🔻	🔻	🔻	🔻	🔻	🔻	—	—	🔻	red triangle pointed down
2349	U+1F4A0	💠	💠	💠	💠	💠	💠	💠	💠	💠	💠	—	💠	—	diamond with a dot
2350	U+1F518	🔘	🔘	🔘	🔘	🔘	🔘	🔘	🔘	🔘	🔘	—	—	🔘	radio button
2351	U+1F532	🔲	🔲	🔲	🔲	🔲	🔲	🔲	🔲	🔲	—	🔲	—	—	black square button
2352	U+1F533	🔳	🔳	🔳	🔳	🔳	🔳	🔳	🔳	🔳	🔳	🔳	—	—	white square button
2353	U+26AA	⚪	⚪	⚪	⚪	⚪	⚪	⚪	⚪	⚪	⚪	—	—	⚪	white circle
2354	U+26AB	⚫	⚫	⚫	⚫	⚫	⚫	⚫	⚫	⚫	⚫	—	—	⚫	black circle
2355	U+1F534	🔴	🔴	🔴	🔴	🔴	🔴	🔴	🔴	🔴	🔴	🔴	—	🔴	red circle
2356	U+1F535	🔵	🔵	🔵	🔵	🔵	🔵	🔵	🔵	🔵	🔵	—	—	🔵	blue circle
2357	U+1F3C1	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	🏁	chequered flag
2358	U+1F6A9	🚩	🚩	🚩	🚩	🚩	🚩	🚩	🚩	🚩	🚩	—	🚩	🚩	triangular flag
2359	U+1F38C	🎌	🎌	🎌	🎌	🎌	🎌	🎌	—	🎌	🎌	🎌	—	🎌	crossed flags
2360	U+1F3F4	🏴	🏴	🏴	🏴	🏴	🏴	—	🏴	🏴	—	—	—	—	black flag
2361	U+1F3F3	🏳	🏳	🏳	🏳	🏳	🏳	—	🏳	🏳	—	—	—	—	white flag
2362	U+1F3F3 U+FE0F U+200D U+1F308	🏳️‍🌈	🏳️‍🌈	🏳️‍🌈	🏳️‍🌈	🏳️‍🌈	🏳️‍🌈	—	🏳️‍🌈	🏳️‍🌈	—	—	—	—	rainbow flag
2363	U+1F1E6 U+1F1E8	🇦🇨	🇦🇨	🇦🇨	🇦🇨	🇦🇨	🇦🇨	—	🇦🇨	—	—	—	—	—	Ascension Island
2364	U+1F1E6 U+1F1E9	🇦🇩	🇦🇩	🇦🇩	🇦🇩	🇦🇩	🇦🇩	—	🇦🇩	—	—	—	—	—	Andorra
2365	U+1F1E6 U+1F1EA	🇦🇪	🇦🇪	🇦🇪	🇦🇪	🇦🇪	🇦🇪	🇦🇪	🇦🇪	—	—	—	—	—	United Arab Emirates
2366	U+1F1E6 U+1F1EB	🇦🇫	🇦🇫	🇦🇫	🇦🇫	🇦🇫	🇦🇫	—	🇦🇫	—	—	—	—	—	Afghanistan
2367	U+1F1E6 U+1F1EC	🇦🇬	🇦🇬	🇦🇬	🇦🇬	🇦🇬	🇦🇬	—	🇦🇬	—	—	—	—	—	Antigua & Barbuda
2368	U+1F1E6 U+1F1EE	🇦🇮	🇦🇮	🇦🇮	🇦🇮	🇦🇮	🇦🇮	—	🇦🇮	—	—	—	—	—	Anguilla
2369	U+1F1E6 U+1F1F1	🇦🇱	🇦🇱	🇦🇱	🇦🇱	🇦🇱	🇦🇱	—	🇦🇱	—	—	—	—	—	Albania
2370	U+1F1E6 U+1F1F2	🇦🇲	🇦🇲	🇦🇲	🇦🇲	🇦🇲	🇦🇲	—	🇦🇲	—	—	—	—	—	Armenia
2371	U+1F1E6 U+1F1F4	🇦🇴	🇦🇴	🇦🇴	🇦🇴	🇦🇴	🇦🇴	—	🇦🇴	—	—	—	—	—	Angola
2372	U+1F1E6 U+1F1F6	🇦🇶	🇦🇶	🇦🇶	🇦🇶	🇦🇶	🇦🇶	—	🇦🇶	—	—	—	—	—	Antarctica
2373	U+1F1E6 U+1F1F7	🇦🇷	🇦🇷	🇦🇷	🇦🇷	🇦🇷	🇦🇷	—	🇦🇷	—	—	—	—	—	Argentina
2374	U+1F1E6 U+1F1F8	🇦🇸	🇦🇸	🇦🇸	🇦🇸	🇦🇸	🇦🇸	—	🇦🇸	—	—	—	—	—	American Samoa
2375	U+1F1E6 U+1F1F9	🇦🇹	🇦🇹	🇦🇹	🇦🇹	🇦🇹	🇦🇹	🇦🇹	🇦🇹	—	—	—	—	—	Austria
2376	U+1F1E6 U+1F1FA	🇦🇺	🇦🇺	🇦🇺	🇦🇺	🇦🇺	🇦🇺	🇦🇺	🇦🇺	—	—	—	—	—	Australia
2377	U+1F1E6 U+1F1FC	🇦🇼	🇦🇼	🇦🇼	🇦🇼	🇦🇼	🇦🇼	—	🇦🇼	—	—	—	—	—	Aruba
2378	U+1F1E6 U+1F1FD	🇦🇽	🇦🇽	🇦🇽	🇦🇽	🇦🇽	🇦🇽	—	🇦🇽	—	—	—	—	—	Åland Islands
2379	U+1F1E6 U+1F1FF	🇦🇿	🇦🇿	🇦🇿	🇦🇿	🇦🇿	🇦🇿	—	🇦🇿	—	—	—	—	—	Azerbaijan
2380	U+1F1E7 U+1F1E6	🇧🇦	🇧🇦	🇧🇦	🇧🇦	🇧🇦	🇧🇦	—	🇧🇦	—	—	—	—	—	Bosnia & Herzegovina
2381	U+1F1E7 U+1F1E7	🇧🇧	🇧🇧	🇧🇧	🇧🇧	🇧🇧	🇧🇧	—	🇧🇧	—	—	—	—	—	Barbados
2382	U+1F1E7 U+1F1E9	🇧🇩	🇧🇩	🇧🇩	🇧🇩	🇧🇩	🇧🇩	—	🇧🇩	—	—	—	—	—	Bangladesh
2383	U+1F1E7 U+1F1EA	🇧🇪	🇧🇪	🇧🇪	🇧🇪	🇧🇪	🇧🇪	🇧🇪	🇧🇪	—	—	—	—	—	Belgium
2384	U+1F1E7 U+1F1EB	🇧🇫	🇧🇫	🇧🇫	🇧🇫	🇧🇫	🇧🇫	—	🇧🇫	—	—	—	—	—	Burkina Faso
2385	U+1F1E7 U+1F1EC	🇧🇬	🇧🇬	🇧🇬	🇧🇬	🇧🇬	🇧🇬	—	🇧🇬	—	—	—	—	—	Bulgaria
2386	U+1F1E7 U+1F1ED	🇧🇭	🇧🇭	🇧🇭	🇧🇭	🇧🇭	🇧🇭	—	🇧🇭	—	—	—	—	—	Bahrain
2387	U+1F1E7 U+1F1EE	🇧🇮	🇧🇮	🇧🇮	🇧🇮	🇧🇮	🇧🇮	—	🇧🇮	—	—	—	—	—	Burundi
2388	U+1F1E7 U+1F1EF	🇧🇯	🇧🇯	🇧🇯	🇧🇯	🇧🇯	🇧🇯	—	🇧🇯	—	—	—	—	—	Benin
2389	U+1F1E7 U+1F1F1	🇧🇱	🇧🇱	🇧🇱	🇧🇱	🇧🇱	🇧🇱	—	🇧🇱	—	—	—	—	—	St. Barthélemy
2390	U+1F1E7 U+1F1F2	🇧🇲	🇧🇲	🇧🇲	🇧🇲	🇧🇲	🇧🇲	—	🇧🇲	—	—	—	—	—	Bermuda
2391	U+1F1E7 U+1F1F3	🇧🇳	🇧🇳	🇧🇳	🇧🇳	🇧🇳	🇧🇳	—	🇧🇳	—	—	—	—	—	Brunei
2392	U+1F1E7 U+1F1F4	🇧🇴	🇧🇴	🇧🇴	🇧🇴	🇧🇴	🇧🇴	—	🇧🇴	—	—	—	—	—	Bolivia
2393	U+1F1E7 U+1F1F6	🇧🇶	🇧🇶	🇧🇶	🇧🇶	🇧🇶	🇧🇶	—	🇧🇶	—	—	—	—	—	Caribbean Netherlands
2394	U+1F1E7 U+1F1F7	🇧🇷	🇧🇷	🇧🇷	🇧🇷	🇧🇷	🇧🇷	🇧🇷	🇧🇷	—	—	—	—	—	Brazil
